descr_compl,qtd,media
"CAMARA AR CARGA PNEU S/CAM 295/80-22,5 CENTRAL TR-462 TORTUGA",3,156.13
CAMARA AR CARGA PNEU S/CAM LT-1215 TR-13 PEGASUS,1,50.33
CAMARA AR CARGA PNEU S/CAM LT-1416 TR-13 PEGASUS,4,67.64
CAMARA AR CARGA PNEU S/CAM LT-1616 TR-13 PEGASUS,1,90.0
KIT PNEU S/CAM AUTOMOVEL METAL 22 RECICLOS,3,66.78666666666668
KIT PNEU S/CAM AUTOMOVEL METAL 29 VILUZ,1,81.0
KIT PNEU S/CAM MOTO PLAST HOBBY 17 RECICLOS,2,61.769999999999996
PNEU CARROCA 4.50-21 4L USO C/CAM SELVAGEM 100816 MAGGION,1,264.0
PNEU IND 3.00/3.25-8 4L PSO-3.25-8/10 BULL MASTER,9,41.621111111111105
PNEU IND 4.00x8 8L FORTI 2 100345 MAGGION,2,292.12
PNEU IND 4.00x8/4.80-8 4L 961721 LEVORIN,3,161.98
PNEU MOTO 100/80-17 D 4L S/CAM SPORTISSIMO 100558 MAGGION,2,267.275
PNEU MOTO 100/80-18 T 4L S/CAM MASKED URBAN 02450111008018MKED IRA,4,187.25
PNEU MOTO 100/90-14 T 4L S/CAM MASKED SCOOTER 02450111009014MKED IRA,1,185.64
PNEU MOTO 100/90-18 T 4L C/CAM MATRIX 724600_101 LEVORIN,1,329.46
PNEU MOTO 100/90-18 T 4L S/CAM PREDATOR 100626 MAGGION,1,281.0
PNEU MOTO 100/90-18 T 4L S/CAM SS-48 800150007 RINALDI,2,344.865
PNEU MOTO 110/70-17 D 4L S/CAM MASKED GP 02450111107017MKED IRA,10,210.349
PNEU MOTO 110/70-17 D 4L S/CAM REINF MATRIX SPORT II 554101_101 LEVORIN,2,360.27
PNEU MOTO 110/70-17 D 4L S/CAM SPORTISSIMO 100559 MAGGION,1,280.0
PNEU MOTO 110/90-17 T 4L C/CAM BUNKER ADAPT 02450111109017BKER IRA,2,258.88
PNEU MOTO 110/90-17 T 4L C/CAM R-34 800070001 RINALDI,2,426.71000000000004
PNEU MOTO 110/90-17 T 4L C/CAM VIPER 100339 MAGGION,5,311.47799999999995
PNEU MOTO 120/80-18 T 4L C/CAM VIPER 100313 MAGGION,2,283.765
PNEU MOTO 120/80-18 T 4L S/CAM DUNA II 725393_101 LEVORIN,2,414.87
PNEU MOTO 130/70-17 T 4L S/CAM MASKED GP 02450111307017MKED IRA,2,273.35
PNEU MOTO 130/70-17 T 4L S/CAM REINF MATRIX SPORT II 172547_101 LEVORIN,2,436.41499999999996
PNEU MOTO 140/70-17 T 4L S/CAM MASKED GP 02450111407017MKED IRA,10,334.202
PNEU MOTO 140/70-17 T 4L S/CAM SPORTISSIMO 100560 MAGGION,5,402.808
PNEU MOTO 2.50-17 D 4L USO C/CAM PD-29 800020002 RINALDI,9,178.73222222222225
PNEU MOTO 2.75-17 D/T 4L USO C/CAM PD-29 800020003 RINALDI,3,202.70333333333335
PNEU MOTO 2.75-17 D/T 4L USO C/CAM SOHO-BR 02450110027517SOHO IRA,4,165.1875
PNEU MOTO 2.75-17 D/T 4L USO S/CAM REINF DAKAR II 627489_101 LEVORIN,2,219.18
PNEU MOTO 2.75-18 D 4L USO C/CAM BS-32 800050001 RINALDI,7,206.86285714285714
PNEU MOTO 2.75-18 D 4L USO C/CAM QUIZ-GP 02450110275018QZGP IRA,20,129.1445
PNEU MOTO 2.75-18 D 4L USO C/CAM SOHO-BR 02450110275018SOHO IRA,6,138.26666666666668
PNEU MOTO 2.75-18 D 4L USO S/CAM SS-48 800150003 RINALDI,5,255.26800000000003
PNEU MOTO 60/100-17 D 4L USO C/CAM BS-32 1000000021004 RINALDI,3,173.16666666666666
PNEU MOTO 60/100-17 D 4L USO C/CAM QUIZ-GP 02450110060100QZGP IRA,23,105.81869565217391
PNEU MOTO 60/100-17 D 4L USO C/CAM SOHO-BR 02450110060100SOHO IRA,4,112.775
PNEU MOTO 60/100-17 D 4L USO C/CAM STREETFIGHTER MF7 100265 MAGGION,1,123.62
PNEU MOTO 80/100-14 T 49L 4L USO S/CAM SS-48 800150016 RINALDI,3,250.40333333333334
PNEU MOTO 80/100-14 T 4L USO C/CAM MATRIX 849470_101 LEVORIN,7,207.62857142857143
PNEU MOTO 80/100-14 T 4L USO C/CAM PD-29 800020001 RINALDI,19,188.87105263157895
PNEU MOTO 80/100-14 T 4L USO C/CAM QUIZ-GP 02450110080114QZGP IRA,28,123.09464285714286
PNEU MOTO 80/100-14 T 4L USO C/CAM R-34 800070015 RINALDI,4,225.2425
PNEU MOTO 80/100-14 T 4L USO C/CAM SOHO-BR 02450110080114SOHO IRA,13,116.69538461538461
PNEU MOTO 80/100-14 T 4L USO C/CAM ST-6 100327 MAGGION,8,142.38875000000002
PNEU MOTO 80/100-14 T 4L USO C/CAM STREETFIGHTER 100266 MAGGION,2,141.075
PNEU MOTO 80/100-18 D 4L USO C/CAM SOHO 02450110080100SOHO IRA,5,127.476
PNEU MOTO 80/100-18 D 4L USO S/CAM HB-37 800100006 RINALDI,5,256.5
PNEU MOTO 80/100-18 D 4L USO S/CAM MASKED URBAN 02450110080100MKED IRA,31,156.70483870967743
PNEU MOTO 80/90-21 D 4L USO C/CAM R-34 800070006 RINALDI,1,286.88
PNEU MOTO 90/80-16 D/T 4L USO C/CAM PD-29 800020007 RINALDI,1,229.64
PNEU MOTO 90/80-16 D/T 4L USO C/CAM STREETFIGHTER 100479 MAGGION,1,165.0
PNEU MOTO 90/90-14 D 4L USO S/CAM MASKED SCOOTER 02450110909014MKED IRA,4,158.185
PNEU MOTO 90/90-18 T 4L S/CAM SS-48 800150004 RINALDI,4,286.0175
PNEU MOTO 90/90-18 T 4L USO C/CAM BS-32 800050002 RINALDI,18,213.81333333333333
PNEU MOTO 90/90-18 T 4L USO C/CAM MATRIX 158487_101 LEVORIN,11,238.60454545454547
PNEU MOTO 90/90-18 T 4L USO C/CAM QUIZ-GP 02450110909018QZGP IRA,30,156.38133333333332
PNEU MOTO 90/90-18 T 4L USO C/CAM SOHO-BR 02450110909018SOHO IRA,11,162.00363636363636
PNEU MOTO 90/90-18 T 4L USO S/CAM HB-37 800100005 RINALDI,9,289.68
PNEU MOTO 90/90-18 T 4L USO S/CAM MASKED URBAN 02450110909018MKED IRA,31,180.95483870967743
PNEU MOTO 90/90-19 D 4L S/CAM DUNA II 275937_101 LEVORIN,2,284.975
PNEU MOTO 90/90-19 D 4L USO C/CAM R-34 800070010 RINALDI,1,323.47
PNEU MOTO 90/90-19 D 4L USO C/CAM VIPER 100338 MAGGION,4,232.73250000000002
PNEU MOTO 90/90-21 D 4L C/CAM VIPER 100534 MAGGION,2,250.65
REPARADOR FURO PNEU 400ml MP10 AE0600026 MUNDIAL PRIME,8,20.25125
VALV PNEU S/ CAM AUT R413 5500 BREMEN,1,5.0
VALV PNEU S/ CAM AUT R414RC 5501 BREMEN,232,0.7916379310344828
VALV PNEU S/ CAM AUT R415RC 2544 BREMEN,5,5.0
VALV PNEU S/ CAM CAM R34561-313 (V3-20-4) 8cm 5502 BREMEN,7,8.0
VALV PNEU S/ CAM MOTO METAL 9898 BREMEN,3,5.903333333333333
VALV PNEU S/ CAM MOTO R412RC 5523 BREMEN,10,0.99
VALV PNEU S/ CAM TRATOR R5880 TR-618A 5515 BREMEN,4,13.8825
